user_id,attempt_id,started_at,status,no_of_questions,question_attempted
104394,52062907,2021-06-18 07:44:31.454560+00:00,COMPLETE,10,10
104394,52063014,2021-06-18 07:46:22.008798+00:00,COMPLETE,10,10
104394,52063088,None,CREATE,10,0
108923,52063536,None,CREATE,100,0
68292,52064125,2021-06-18 08:02:43.631338+00:00,COMPLETE,20,20
1831,52065072,2021-06-18 08:17:39.732733+00:00,COMPLETE,20,20
1831,52065256,None,CREATE,20,0
35674,52066214,None,CREATE,60,0
102410,52066632,2021-06-18 08:41:32.068518+00:00,COMPLETE,20,20
102410,52067201,2021-06-18 08:50:11.411230+00:00,COMPLETE,20,20
28621,52067407,2021-06-18 08:51:35.341205+00:00,COMPLETE,20,20
102410,52067693,None,CREATE,20,0
28621,52067736,None,CREATE,20,0
28621,52068040,2021-06-18 09:00:28.878166+00:00,COMPLETE,20,20
79799,52068120,2021-06-18 09:01:45.189278+00:00,COMPLETE,5,3
68292,52068197,None,CREATE,20,0
68292,52068198,None,CREATE,20,0
79799,52068375,None,CREATE,5,0
21760,52068510,2021-06-26 11:52:52.967633+00:00,COMPLETE,30,30
28621,52068569,None,CREATE,20,0
106711,52068911,None,CREATE,200,0
28621,52069010,2021-06-18 09:13:26.074295+00:00,COMPLETE,20,20
79799,52069081,2021-06-18 09:14:07.670460+00:00,COMPLETE,100,17
102410,52069365,2021-06-18 09:19:08.911689+00:00,COMPLETE,20,20
28621,52069486,None,CREATE,20,0
28621,52070154,2021-06-18 09:27:12.003256+00:00,COMPLETE,20,20
28621,52070461,None,CREATE,20,0
77037,52071235,2021-06-18 09:37:37.314750+00:00,COMPLETE,100,100
11736,52072557,2021-07-07 04:31:31.519817+00:00,COMPLETE,15,12
11736,52072635,2021-06-18 09:52:17.107569+00:00,COMPLETE,15,4
11736,52072897,None,CREATE,15,0
91932,52073367,2021-06-18 09:59:40.991071+00:00,COMPLETE,5,5
91932,52073528,2021-06-20 04:23:34.211348+00:00,COMPLETE,5,5
91086,52073844,2021-06-18 10:04:22.988750+00:00,COMPLETE,10,10
79799,52073890,None,CREATE,100,0
91086,52074270,None,PAUSE,10,10
91086,52074335,2021-06-18 10:09:31.167509+00:00,COMPLETE,10,10
91086,52074685,None,CREATE,10,0
2610,52077361,2021-06-18 10:47:02.016860+00:00,COMPLETE,20,20
43158,52077573,2021-06-18 10:47:14.080880+00:00,COMPLETE,6,6
11729,52079795,None,CREATE,10,0
17705,52079924,None,CREATE,100,0
11729,52079953,None,CREATE,10,0
11729,52080025,None,PAUSE,10,10
43158,52080866,2021-06-18 11:38:18.990231+00:00,COMPLETE,15,14
43158,52081003,None,CREATE,15,0
21760,52083056,2021-06-18 12:11:18.404995+00:00,COMPLETE,30,30
111765,52083384,2021-06-18 12:14:25.762126+00:00,COMPLETE,100,4
111765,52083406,None,CREATE,100,0
111765,52083594,2021-06-18 12:17:43.229001+00:00,COMPLETE,100,13
111765,52083624,None,CREATE,100,0
81042,52084705,2021-06-18 12:38:24.652691+00:00,COMPLETE,20,20
21760,52084979,None,CREATE,30,0
81042,52085435,2021-07-02 06:51:21.175821+00:00,COMPLETE,20,20
110586,52086195,2021-06-18 12:56:46.727941+00:00,COMPLETE,10,10
61874,52087041,2021-06-18 13:06:05.682542+00:00,COMPLETE,20,20
88653,52087175,2021-06-18 13:07:59.728651+00:00,COMPLETE,20,20
61874,52087434,None,CREATE,20,0
38599,52087487,None,CREATE,20,0
88653,52087777,None,CREATE,20,0
